Black Hole ,Type,Mass,Mass Error +,Mass Error -,Spin ,Spin Error +,Spin Error -
GRO J1655-40,Solar ,6.3,0.5,0.5,0.7,0.1,0.1
A 0620-00,Solar,6.61,0.25,0.25,0.12,0.19,0.19
LMC X-3,Solar,6.98,0.56,0.56,0.25,0.13,0.16
GW151226 (Secondary),Solar,7.5,2.3,2.3,0.52,0.43,0.47
XTE J1550-564,Solar,9.1,0.61,0.61,0.34,0.37,0.34
4U 1543-475,Solar,9.4,1,1,0.8,0.1,0.1
LMC X-1,Solar,10.91,1.41,1.41,0.92,0.05,0.07
GW151226 (Primary),Solar,14.2,8.3,3.7,0.49,0.37,0.42
GRS 1915+105,Solar,10.1,0.6,0.6,0.95,0.05,0
Cygnus X-1,Solar,14.8,1,1,0.983,0.017,0
GW170104  (Secondary),Solar,19.4,5.3,5.9,0.47,0.46,0.43
M33 X-7,Solar,15.65,1.45,1.45,0.84,0.05,0.05
GW150914 (Secondary),Solar,29.1,3.7,4.4,0.48,0.47,0.43
GW170104 (Primary),Solar,31.2,8.4,6,0.45,0.46,0.4
GW150914 (Primary),Solar,36.2,5.2,3.8,0.32,0.47,0.29
Fairall 9,Supermassive,255000000,56000000,56000000,0.52,0.19,0.15
Mrk79,Supermassive,52400000,14400000,14400000,0.7,0.1,0.1
NGC3783 ,Supermassive,29800000,5400000,5400000,0.98,0.02,0
Mrk335,Supermassive,14200000,3700000,3700000,0.83,0.09,0.13
MCGÐ6-30-15 ,Supermassive,2900000,1800000,1600000,0.98,0.02,0
Mrk 110,Supermassive,25100000,6100000,6100000,0.89,0.11,0.2
NGC 7469,Supermassive,12200000,1400000,1400000,0.69,0.09,0.09
Ark 120,Supermassive,150000000,19000000,19000000,0.64,0.19,0.11
NGC 4051,Supermassive,1910000,780000,780000,0.99,0.01,0